,Cap.,City,Conference,Division,Enrollment,FirstPlayed,FormerConferences,JoinedFBS,Nickname,Note,ProgramEstablished,School,Stadium,State,School Long Name
0,,Colorado Springs,Mountain West,FBS,"4,237",1955,WAC,,Falcons,,,Air Force,,Colorado,Air Force
1,,Akron,MAC,FBS,"19,200",1891,"OAC, MCC, OVC",1987,Zips,,,Akron,,Ohio,Akron
2,,Tuscaloosa,SEC,FBS,"38,500",1892,"SIAA, SoCon",,Crimson Tide,,,Alabama,,Alabama,Alabama
3,,Boone,Sun Belt,FBS,"19,100",1928,"NSC, SoCon",2014[n 1],Mountaineers,,,Appalachian State,,North Carolina,Appalachian State
4,,Tucson,Pac-12,FBS,"45,200",1899,"BIAA, WAC",,Wildcats,,,Arizona,,Arizona,Arizona
5,,Tempe,Pac-12,FBS,"51,800",1896,"BIAA, WAC",,Sun Devils,,,Arizona State,,Arizona,Arizona State
6,,Fayetteville,SEC,FBS,"27,800",1894,SWC,,Razorbacks,,,Arkansas,,Arkansas,Arkansas
7,,Jonesboro,Sun Belt,FBS,"22,000",1911,"Arkansas Intercollegiate Conference, Southland, Big West",1992,Red Wolves,,,Arkansas State,,Arkansas,Arkansas State
8,,West Point,Independent,FBS,"4,300",1890,C-USA,,Black Knights,,,Army,,New York,Army
9,,Auburn,SEC,FBS,"30,400",1892,"SIAA, SoCon",,Tigers,,,Auburn,,Alabama,Auburn
10,,Muncie,MAC,FBS,"22,500",1924,"IIC, ICC",,Cardinals,,,Ball State,,Indiana,Ball State
11,,Waco,Big 12,FBS,"17,200",1899,"TIAA, SWC",,Bears,,,Baylor,,Texas,Baylor
12,,Boise,Mountain West,FBS,"25,500",1933[n 2],"ICAC, Big Sky, Big West, WAC",1996,Broncos,,,Boise State,,Idaho,Boise State
13,,Chestnut Hill,ACC,FBS,"14,700",1893,Big East,,Eagles,,,Boston Col.,,Massachusetts,Boston College
14,,Bowling Green,MAC,FBS,"23,000",1919,"Northwest Ohio Intercollegiate Athletic Association, OAC",,Falcons,,,Bowling Green,,Ohio,Bowling Green
15,,Buffalo,MAC,FBS,"31,500",1894,New York State Conference,1999,Bulls,,,Buffalo,,New York,Buffalo
16,,Provo,Independent,FBS,"33,600",1922,"Rocky Mountain, Mountain States, WAC, MW",,Cougars,,,BYU,,Utah,BYU
17,,Berkeley,Pac-12,FBS,"42,500",1882,PCC,,Golden Bears,,,California,,California,California
18,,Mount Pleasant,MAC,FBS,"21,700",1896,"MCC, IIAC",,Chippewas,,,Central Michigan,,Michigan,Central Michigan
19,,Charlotte,C-USA,FBS,"29,700",2013,"Sun Belt, C-USA, A-10",2015,49ers,,,Charlotte,,North Carolina,Charlotte
20,,Cincinnati,American,FBS,"46,000",1885,"OAC, Buckeye Intercollegiate Athletic Association, MAC, MVC, C-USA, Big East",,Bearcats,,,Cincinnati,,Ohio,Cincinnati
21,,Clemson,ACC,FBS,"25,000",1896,"SIAA, SAIAA, SoCon",,Tigers,,,Clemson,,South Carolina,Clemson
22,,Conway,Sun Belt,FBS,"10,600",2003,Big South,2017,Chanticleers,,,Coastal Carolina,,South Carolina,Coastal Carolina
23,,Boulder,Pac-12,FBS,"33,200",1890,"Colorado Football Association, Rocky Mountain, Mountain States, Big Eight, Big 12",,Buffaloes,,,Colorado,,Colorado,Colorado
24,,Fort Collins,Mountain West,FBS,"33,800",1890,"Colorado Football Association, Rocky Mountain, Mountain States, WAC",,Rams,,,Colorado State,,Colorado,Colorado State
25,,Durham,ACC,FBS,"15,900",1888,SoCon,,Blue Devils,,,Duke,,North Carolina,Duke
26,,Greenville,American,FBS,"29,100",1932,"NSC, Carolinas, SoCon, C-USA",,Pirates,,,East Carolina,,North Carolina,East Carolina
27,,Ypsilanti,MAC,FBS,"20,300",1891,"MIAA, MCC, IIAC, PAC",,Eagles,,,East. Michigan,,Michigan,Eastern Michigan
28,,Miami,C-USA,FBS,"56,800",2002,Sun Belt,2006,Panthers,,,Florida International,,Florida,FIU
29,,Gainesville,SEC,FBS,"56,100",1906,"SIAA, SoCon",,Gators,,,Florida,,Florida,Florida
30,,Boca Raton,C-USA,FBS,"30,800",2001,Sun Belt,2006,Owls,,,Florida Atlantic,,Florida,Florida Atlantic
31,,Tallahassee,ACC,FBS,"41,900",1947,Dixie,,Seminoles,,,Florida State,,Florida,Florida State
